kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,8,0,2,0,dp,216.776810058,1.33850953071,456,576,1.0474e-05,4.9984e-05,0.000148535,0.000215095
uniform,8,0,2,1,dp,213.913556714,0,1464,576,1.3218e-05,0.000166997,0.000258506,0.000441811
uniform,8,0,2,2,dp,213.913556714,0,2864,576,5.2911e-05,0.000359624,0.000353816,0.000768976
uniform,8,0,2,inf,dp,213.913556714,0,4608,576,0.000392037,0.000789967,0.000448171,0.001633695
uniform,8,1,2,0,dp,257.504393792,9.46851983013,456,576,2.011e-06,2.7452e-05,0.000132311,0.000164477
uniform,8,1,2,1,dp,235.23145667,0,1464,576,1.1992e-05,0.000107015,0.000238434,0.000359163
uniform,8,1,2,2,dp,235.23145667,0,2864,576,5.364e-05,0.000268787,0.000336219,0.00066059
uniform,8,1,2,inf,dp,235.23145667,0,4608,576,0.000325028,0.00056607,0.000452353,0.001345089
uniform,8,2,2,0,dp,224.707151301,8.0892241985,456,576,2.066e-06,2.7894e-05,0.000131023,0.000163384
uniform,8,2,2,1,dp,207.890428456,0,1464,576,1.1545e-05,0.000109856,0.000257421,0.000380657
uniform,8,2,2,2,dp,207.890428456,0,2864,576,6.2238e-05,0.000266915,0.000344701,0.000677869
uniform,8,2,2,inf,dp,207.890428456,0,4608,576,0.000323891,0.000726168,0.000445977,0.001498737
uniform,9,0,2,0,dp,220.037824194,1.62181023951,657,1280,2.642e-06,4.9376e-05,0.000337131,0.0003928
uniform,9,0,2,1,dp,216.804248206,0.128422242937,2421,1280,1.6824e-05,0.000179814,0.000678663,0.000877654
uniform,9,0,2,2,dp,216.526180428,0,5445,1280,8.1741e-05,0.002389713,0.001663778,0.004139779
uniform,9,0,2,inf,dp,216.526180428,0,11520,1280,0.001402203,0.001991791,0.00191968,0.005319426
uniform,9,1,2,0,dp,250.195370956,5.84173995007,657,1280,0.000162809,4.0042e-05,0.000342185,0.000548885
uniform,9,1,2,1,dp,241.802349241,2.29118656291,2421,1280,1.8527e-05,0.000179786,0.000665314,0.000866281
uniform,9,1,2,2,dp,236.386298141,0,5445,1280,8.4142e-05,0.000473069,0.001166757,0.001726264
uniform,9,1,2,inf,dp,236.386298141,0,11520,1280,0.000980554,0.00131929,0.002157692,0.004460292
uniform,9,2,2,0,dp,222.464502624,6.46715037581,657,1280,4.612e-06,4.5409e-05,0.000330293,0.000386259
uniform,9,2,2,1,dp,208.951307364,0,2421,1280,1.7792e-05,0.000192317,0.000744936,0.000957706
uniform,9,2,2,2,dp,208.951307364,0,5445,1280,9.1072e-05,0.000548833,0.00185482,0.002498029
uniform,9,2,2,inf,dp,208.951307364,0,11520,1280,0.00101516,0.001624778,0.00190998,0.004554588
uniform,10,0,2,0,dp,232.166747608,4.4957656877,910,2816,3.902e-06,5.1651e-05,0.000876962,0.000938044
uniform,10,0,2,1,dp,222.178139067,0,3790,2816,2.327e-05,0.000291233,0.001894699,0.002212449
uniform,10,0,2,2,dp,222.178139067,0,9670,2816,0.000102316,0.00078828,0.005037495,0.005931482
uniform,10,0,2,inf,dp,222.178139067,0,28160,2816,0.004079956,0.004037164,0.008865357,0.016990012
uniform,10,1,2,0,dp,254.28121678,7.56201248971,910,2816,0.000404459,5.3511e-05,0.000817489,0.001279913
uniform,10,1,2,1,dp,243.998213602,3.21225936914,3790,2816,2.3592e-05,0.000336686,0.001923278,0.00228703
uniform,10,1,2,2,dp,236.404294503,0,9670,2816,0.000105812,0.000746484,0.003826316,0.004682673
uniform,10,1,2,inf,dp,236.404294503,0,28160,2816,0.002482451,0.00428797,0.009487666,0.016263083
uniform,10,2,2,0,dp,226.232202065,7.32243404028,910,2816,4.52e-06,5.3348e-05,0.000821299,0.00088395
uniform,10,2,2,1,dp,210.79674915,1.34829922876e-14,3790,2816,2.9297e-05,0.000308027,0.00192034,0.002262805
uniform,10,2,2,2,dp,210.79674915,0,9670,2816,0.000109722,0.000785296,0.004179443,0.005079623
uniform,10,2,2,inf,dp,210.79674915,0,28160,2816,0.002274503,0.003907781,0.010010443,0.016200396
