kind,n,seed,alpha,k,astar,dp,abs_diff
uniform,6,0,2,0,188.613441866,188.613441866,0.0
uniform,6,0,2,1,167.822669509,167.822669509,0.0
uniform,6,0,2,2,167.822669509,167.822669509,0.0
uniform,6,0,2,inf,167.822669509,167.822669509,0.0
uniform,6,1,2,0,248.612164524,248.612164524,0.0
uniform,6,1,2,1,226.69978632,226.69978632,0.0
uniform,6,1,2,2,223.512284949,223.512284949,0.0
uniform,6,1,2,inf,223.512284949,223.512284949,0.0
uniform,6,2,2,0,193.908576556,193.908576556,0.0
uniform,6,2,2,1,193.908576556,193.908576556,0.0
uniform,6,2,2,2,193.908576556,193.908576556,0.0
uniform,6,2,2,inf,193.908576556,193.908576556,0.0
uniform,6,3,2,0,136.117140033,136.117140033,0.0
uniform,6,3,2,1,129.323995502,129.323995502,0.0
uniform,6,3,2,2,129.323995502,129.323995502,0.0
uniform,6,3,2,inf,129.323995502,129.323995502,0.0
uniform,6,4,2,0,210.536924536,210.536924536,0.0
uniform,6,4,2,1,210.347484779,210.347484779,0.0
uniform,6,4,2,2,210.347484779,210.347484779,0.0
uniform,6,4,2,inf,210.347484779,210.347484779,0.0
uniform,7,0,2,0,204.72372816,204.72372816,0.0
uniform,7,0,2,1,188.967491564,188.967491564,0.0
uniform,7,0,2,2,188.967491564,188.967491564,0.0
uniform,7,0,2,inf,188.967491564,188.967491564,0.0
uniform,7,1,2,0,255.613991712,255.613991712,0.0
uniform,7,1,2,1,235.23145667,235.23145667,0.0
uniform,7,1,2,2,226.725807003,226.725807003,0.0
uniform,7,1,2,inf,223.530281311,223.530281311,0.0
uniform,7,2,2,0,224.040013323,224.040013323,0.0
uniform,7,2,2,1,210.592523404,210.592523404,0.0
uniform,7,2,2,2,210.592523404,210.592523404,0.0
uniform,7,2,2,inf,210.592523404,210.592523404,0.0
uniform,7,3,2,0,135.348517291,135.348517291,0.0
uniform,7,3,2,1,125.080703518,125.080703518,0.0
uniform,7,3,2,2,125.080703518,125.080703518,0.0
uniform,7,3,2,inf,125.080703518,125.080703518,0.0
uniform,7,4,2,0,228.999722053,228.999722053,0.0
uniform,7,4,2,1,212.824946237,212.824946237,0.0
uniform,7,4,2,2,212.824946237,212.824946237,0.0
uniform,7,4,2,inf,212.824946237,212.824946237,0.0
uniform,8,0,2,0,216.776810058,216.776810058,0.0
uniform,8,0,2,1,213.913556714,213.913556714,0.0
uniform,8,0,2,2,213.913556714,213.913556714,0.0
uniform,8,0,2,inf,213.913556714,213.913556714,0.0
uniform,8,1,2,0,257.504393792,257.504393792,0.0
uniform,8,1,2,1,235.23145667,235.23145667,0.0
uniform,8,1,2,2,235.23145667,235.23145667,0.0
uniform,8,1,2,inf,235.23145667,235.23145667,0.0
uniform,8,2,2,0,224.707151301,224.707151301,0.0
uniform,8,2,2,1,207.890428456,207.890428456,0.0
uniform,8,2,2,2,207.890428456,207.890428456,0.0
uniform,8,2,2,inf,207.890428456,207.890428456,0.0
uniform,8,3,2,0,140.705068542,140.705068542,0.0
uniform,8,3,2,1,124.75148263,124.75148263,0.0
uniform,8,3,2,2,124.75148263,124.75148263,0.0
uniform,8,3,2,inf,124.75148263,124.75148263,0.0
uniform,8,4,2,0,232.388315443,232.388315443,0.0
uniform,8,4,2,1,214.361328507,214.361328507,0.0
uniform,8,4,2,2,212.515681344,212.515681344,0.0
uniform,8,4,2,inf,212.515681344,212.515681344,0.0
uniform,9,0,2,0,220.037824194,220.037824194,0.0
uniform,9,0,2,1,216.804248206,216.804248206,0.0
uniform,9,0,2,2,216.526180428,216.526180428,0.0
uniform,9,0,2,inf,216.526180428,216.526180428,0.0
uniform,9,1,2,0,250.195370956,250.195370956,0.0
uniform,9,1,2,1,241.802349241,241.802349241,0.0
uniform,9,1,2,2,236.386298141,236.386298141,0.0
uniform,9,1,2,inf,236.386298141,236.386298141,0.0
uniform,9,2,2,0,222.464502624,222.464502624,0.0
uniform,9,2,2,1,208.951307364,208.951307364,0.0
uniform,9,2,2,2,208.951307364,208.951307364,0.0
uniform,9,2,2,inf,208.951307364,208.951307364,0.0
uniform,9,3,2,0,171.12750717,171.12750717,0.0
uniform,9,3,2,1,152.856080436,152.856080436,0.0
uniform,9,3,2,2,152.856080436,152.856080436,0.0
uniform,9,3,2,inf,152.802921462,152.802921462,0.0
uniform,9,4,2,0,243.793028286,243.793028286,0.0
uniform,9,4,2,1,222.459068099,222.459068099,0.0
uniform,9,4,2,2,222.459068099,222.459068099,0.0
uniform,9,4,2,inf,222.459068099,222.459068099,0.0
uniform,10,0,2,0,232.166747608,232.166747608,0.0
uniform,10,0,2,1,222.178139067,222.178139067,0.0
uniform,10,0,2,2,222.178139067,222.178139067,0.0
uniform,10,0,2,inf,222.178139067,222.178139067,0.0
uniform,10,1,2,0,254.28121678,254.28121678,0.0
uniform,10,1,2,1,243.998213602,243.998213602,0.0
uniform,10,1,2,2,236.404294503,236.404294503,0.0
uniform,10,1,2,inf,236.404294503,236.404294503,0.0
uniform,10,2,2,0,226.232202065,226.232202065,0.0
uniform,10,2,2,1,210.79674915,210.79674915,0.0
uniform,10,2,2,2,210.79674915,210.79674915,0.0
uniform,10,2,2,inf,210.79674915,210.79674915,0.0
uniform,10,3,2,0,220.386782309,220.386782309,0.0
uniform,10,3,2,1,204.074999539,204.074999539,0.0
uniform,10,3,2,2,191.913266021,191.913266021,0.0
uniform,10,3,2,inf,191.913266021,191.913266021,0.0
uniform,10,4,2,0,244.982505364,244.982505364,0.0
uniform,10,4,2,1,222.459068099,222.459068099,0.0
uniform,10,4,2,2,222.459068099,222.459068099,0.0
uniform,10,4,2,inf,222.459068099,222.459068099,0.0
