kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,6,0,2,0,dp,188.613441866,12.3885363147,186,112,4.863e-06,3.4118e-05,2.7203e-05,7.3091e-05
uniform,6,0,2,1,dp,167.822669509,0,426,112,9.444e-06,7.8215e-05,3.9174e-05,0.000127979
uniform,6,0,2,2,dp,167.822669509,0,606,112,3.4569e-05,0.000126324,4.2572e-05,0.000205252
uniform,6,0,2,inf,dp,167.822669509,0,672,112,7.511e-05,0.00012527,4.1342e-05,0.000243243
uniform,6,0,2,0,astar,188.613441866,12.3885363147,186,104,1.3485e-05,1.5502e-05,8.2328e-05,0.000112664
uniform,6,0,2,1,astar,167.822669509,0,426,95,8.831e-06,4.6613e-05,8.3723e-05,0.000140567
uniform,6,0,2,2,astar,167.822669509,0,606,96,2.9613e-05,7.24e-05,8.7301e-05,0.000190296
uniform,6,0,2,inf,astar,167.822669509,0,672,96,6.8437e-05,0.000101964,8.6331e-05,0.00025811
uniform,6,1,2,0,dp,248.612164524,11.2297539174,186,112,1.4563e-05,0.000108084,2.6865e-05,0.00015212
uniform,6,1,2,1,dp,226.69978632,1.42609672265,426,112,1.013e-05,4.5023e-05,3.6531e-05,9.3195e-05
uniform,6,1,2,2,dp,223.512284949,0,606,112,3.0446e-05,7.2578e-05,4.1158e-05,0.000145296
uniform,6,1,2,inf,dp,223.512284949,0,672,112,6.4625e-05,9.1271e-05,4.1062e-05,0.00019811
uniform,6,1,2,0,astar,248.612164524,11.2297539174,186,109,1.345e-05,1.576e-05,7.6853e-05,0.00010758
uniform,6,1,2,1,astar,226.69978632,1.42609672265,426,103,7.621e-06,7.1944e-05,8.7114e-05,0.000168609
uniform,6,1,2,2,astar,223.512284949,0,606,102,3.0008e-05,7.2735e-05,8.8193e-05,0.000192811
uniform,6,1,2,inf,astar,223.512284949,0,672,102,6.8177e-05,0.000135912,8.7675e-05,0.000293032
uniform,6,2,2,0,dp,193.908576556,0,186,112,1.4669e-05,1.6355e-05,2.7236e-05,6.097e-05
uniform,6,2,2,1,dp,193.908576556,0,426,112,9.058e-06,4.5624e-05,3.7192e-05,9.3288e-05
uniform,6,2,2,2,dp,193.908576556,0,606,112,2.8698e-05,7.4928e-05,4.1936e-05,0.000146778
uniform,6,2,2,inf,dp,193.908576556,0,672,112,6.679e-05,9.1265e-05,4.2176e-05,0.000201982
uniform,6,2,2,0,astar,193.908576556,0,186,104,1.3561e-05,1.5386e-05,7.5187e-05,0.000105818
uniform,6,2,2,1,astar,193.908576556,0,426,106,7.7e-06,4.5025e-05,8.7882e-05,0.000141883
uniform,6,2,2,2,astar,193.908576556,0,606,106,2.8061e-05,7.1904e-05,9.1513e-05,0.000192772
uniform,6,2,2,inf,astar,193.908576556,0,672,106,6.6081e-05,8.9054e-05,0.000116889,0.000274081
uniform,6,3,2,0,dp,136.117140033,5.25281058976,186,112,1.599e-05,1.9656e-05,2.6636e-05,6.565e-05
uniform,6,3,2,1,dp,129.323995502,0,426,112,9.953e-06,4.6757e-05,3.6725e-05,9.475e-05
uniform,6,3,2,2,dp,129.323995502,0,606,112,3.0132e-05,7.6788e-05,4.1833e-05,0.000149839
uniform,6,3,2,inf,dp,129.323995502,0,672,112,6.7954e-05,9.8631e-05,4.052e-05,0.000208746
uniform,6,3,2,0,astar,136.117140033,5.25281058976,186,93,1.3474e-05,1.5966e-05,7.0383e-05,0.000101503
uniform,6,3,2,1,astar,129.323995502,0,426,87,7.899e-06,4.7061e-05,7.9783e-05,0.000136097
uniform,6,3,2,2,astar,129.323995502,0,606,87,2.8805e-05,7.5253e-05,0.000109325,0.000214839
uniform,6,3,2,inf,astar,129.323995502,0,672,87,6.7174e-05,9.303e-05,8.2723e-05,0.000244913
uniform,6,4,2,0,dp,210.536924536,0.090060386154,186,112,1.4125e-05,1.5264e-05,2.5722e-05,5.7394e-05
uniform,6,4,2,1,dp,210.347484779,0,426,112,8.9e-06,4.6557e-05,3.7089e-05,9.3712e-05
uniform,6,4,2,2,dp,210.347484779,0,606,112,3.0329e-05,7.5119e-05,4.2336e-05,0.000149427
uniform,6,4,2,inf,dp,210.347484779,0,672,112,6.7101e-05,0.000121609,4.1773e-05,0.00023241
uniform,6,4,2,0,astar,210.536924536,0.090060386154,186,104,1.5608e-05,1.9612e-05,7.5017e-05,0.000114955
uniform,6,4,2,1,astar,210.347484779,0,426,106,9.786e-06,5.3057e-05,0.008327771,0.008393692
uniform,6,4,2,2,astar,210.347484779,0,606,106,3.641e-05,8.1611e-05,0.000128858,0.000251433
uniform,6,4,2,inf,astar,210.347484779,0,672,106,7.5273e-05,9.6263e-05,9.5651e-05,0.000270484
uniform,7,0,2,0,dp,204.72372816,8.33806728649,301,256,1.5745e-05,2.7891e-05,7.113e-05,0.00011899
uniform,7,0,2,1,dp,188.967491564,0,826,256,1.412e-05,8.7491e-05,0.00011906,0.000222709
uniform,7,0,2,2,dp,188.967491564,0,1386,256,5.6791e-05,0.000194125,0.000148272,0.000401249
