kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,8,0,2,0,dp,216.776810058,1.33850953071,456,576,1.0682e-05,6.0172e-05,0.000130434,0.000207279
uniform,8,0,2,1,dp,213.913556714,0,1464,576,1.2682e-05,0.000136993,0.000300523,0.000452809
uniform,8,0,2,2,dp,213.913556714,0,2864,576,5.4899e-05,0.000338976,0.000344499,0.000741477
uniform,8,0,2,inf,dp,213.913556714,0,4608,576,0.00036809,0.000823798,0.000434438,0.001628753
uniform,8,1,2,0,dp,257.504393792,9.46851983013,456,576,2.268e-06,2.5827e-05,0.000129505,0.000160008
uniform,8,1,2,1,dp,235.23145667,0,1464,576,1.2075e-05,0.000101276,0.000220582,0.000335325
uniform,8,1,2,2,dp,235.23145667,0,2864,576,5.0517e-05,0.000253558,0.000362284,0.000667719
uniform,8,1,2,inf,dp,235.23145667,0,4608,576,0.000348852,0.000559878,0.000429236,0.001339919
uniform,8,2,2,0,dp,224.707151301,8.0892241985,456,576,1.88e-06,2.6012e-05,0.000128501,0.000158341
uniform,8,2,2,1,dp,207.890428456,0,1464,576,1.1482e-05,0.000110963,0.00021962,0.000343475
uniform,8,2,2,2,dp,207.890428456,0,2864,576,5.7729e-05,0.000257771,0.00033293,0.000650042
uniform,8,2,2,inf,dp,207.890428456,0,4608,576,0.000322297,0.000539427,0.000510865,0.001374096
uniform,9,0,2,0,dp,220.037824194,1.62181023951,657,1280,1.988e-06,3.7405e-05,0.000320051,0.000362345
uniform,9,0,2,1,dp,216.804248206,0.128422242937,2421,1280,1.5478e-05,0.000165173,0.000646225,0.000829087
uniform,9,0,2,2,dp,216.526180428,0,5445,1280,8.0515e-05,0.000567166,0.001160455,0.001810386
uniform,9,0,2,inf,dp,216.526180428,0,11520,1280,0.001197202,0.004440306,0.001892317,0.007533906
uniform,9,1,2,0,dp,250.195370956,5.84173995007,657,1280,0.000164465,3.8211e-05,0.000328837,0.000535246
uniform,9,1,2,1,dp,241.802349241,2.29118656291,2421,1280,1.8044e-05,0.000177724,0.00072055,0.000918764
uniform,9,1,2,2,dp,236.386298141,0,5445,1280,9.3724e-05,0.000489271,0.001188827,0.001775608
