kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,8,0,2,0,dp,216.776810058,1.33850953071,456,576,1.3866e-05,7.787e-05,0.000199664,0.000300214
uniform,8,0,2,1,dp,213.913556714,0,1464,576,1.701e-05,0.000225233,0.000370715,0.000617603
uniform,8,0,2,2,dp,213.913556714,0,2864,576,7.2698e-05,0.000496883,0.000551726,0.001126854
uniform,8,0,2,inf,dp,213.913556714,0,4608,576,0.000671538,0.001273833,0.000688764,0.002639623
uniform,8,0,2,0,astar,216.776810058,1.33850953071,456,527,3.965e-06,3.9314e-05,0.000584547,0.000632711
uniform,8,0,2,1,astar,213.913556714,0,1464,534,1.7908e-05,0.000147124,0.000935273,0.001103902
uniform,8,0,2,2,astar,213.913556714,0,2864,534,7.3044e-05,0.000380256,0.003987522,0.004448931
uniform,8,0,2,inf,astar,213.913556714,0,4608,534,0.000507617,0.002180537,0.001466057,0.004161668
uniform,8,1,2,0,dp,257.504393792,9.46851983013,456,576,4.628e-06,3.7274e-05,0.000182189,0.000228893
uniform,8,1,2,1,dp,235.23145667,0,1464,576,1.6301e-05,0.000155262,0.000336802,0.000510313
uniform,8,1,2,2,dp,235.23145667,0,2864,576,8.7554e-05,0.000363016,0.000488125,0.000941852
uniform,8,1,2,inf,dp,235.23145667,0,4608,576,0.000433893,0.001029759,0.000635508,0.002104148
uniform,8,1,2,0,astar,257.504393792,9.46851983013,456,559,4.182e-06,3.8737e-05,0.000566746,0.000614947
uniform,8,1,2,1,astar,235.23145667,0,1464,550,1.6596e-05,0.00014047,0.00094048,0.00110075
uniform,8,1,2,2,astar,235.23145667,0,2864,550,7.7992e-05,0.000365305,0.001189382,0.001639455
uniform,8,1,2,inf,astar,235.23145667,0,4608,550,0.000470087,0.001030077,0.001437915,0.002947071
uniform,8,2,2,0,dp,224.707151301,8.0892241985,456,576,4.842e-06,3.8886e-05,0.000181541,0.000231075
uniform,8,2,2,1,dp,207.890428456,0,1464,576,2.0759e-05,0.000146515,0.000338217,0.000510662
uniform,8,2,2,2,dp,207.890428456,0,2864,576,7.4051e-05,0.000353753,0.000538483,0.000973229
uniform,8,2,2,inf,dp,207.890428456,0,4608,576,0.000447866,0.000897121,0.003450311,0.004801753
uniform,8,2,2,0,astar,224.707151301,8.0892241985,456,559,4.167e-06,3.8691e-05,0.000729793,0.000779541
uniform,8,2,2,1,astar,207.890428456,0,1464,528,1.742e-05,0.00018954,0.000956365,0.001169653
uniform,8,2,2,2,astar,207.890428456,0,2864,528,7.2743e-05,0.000436822,0.001227296,0.001743333
uniform,8,2,2,inf,astar,207.890428456,0,4608,528,0.000511038,0.000937377,0.001371602,0.002827298
uniform,9,0,2,0,dp,220.037824194,1.62181023951,657,1280,4.906e-06,5.7246e-05,0.000453475,0.000522973
uniform,9,0,2,1,dp,216.804248206,0.128422242937,2421,1280,2.7684e-05,0.000266569,0.001140044,0.001441808
uniform,9,0,2,2,dp,216.526180428,0,5445,1280,0.0001185,0.000880649,0.001680712,0.002687847
uniform,9,0,2,inf,dp,216.526180428,0,11520,1280,0.001782196,0.002321247,0.002798415,0.00690822
uniform,9,0,2,0,astar,220.037824194,1.62181023951,657,1196,0.00021679,5.2989e-05,0.001546942,0.001822679
uniform,9,0,2,1,astar,216.804248206,0.128422242937,2421,1205,2.5833e-05,0.000226175,0.002613169,0.00286972
uniform,9,0,2,2,astar,216.526180428,0,5445,1204,0.00011411,0.00098646,0.003846118,0.00495629
uniform,9,0,2,inf,astar,216.526180428,0,11520,1204,0.00134197,0.001903787,0.004990948,0.00824429
uniform,9,1,2,0,dp,250.195370956,5.84173995007,657,1280,7.194e-06,5.6691e-05,0.000497019,0.000566311
uniform,9,1,2,1,dp,241.802349241,2.29118656291,2421,1280,2.3297e-05,0.000229293,0.000964129,0.001220518
uniform,9,1,2,2,dp,236.386298141,0,5445,1280,0.000109086,0.00238825,0.001329962,0.003833129
uniform,9,1,2,inf,dp,236.386298141,0,11520,1280,0.001005281,0.001345132,0.002088262,0.004444159
uniform,9,1,2,0,astar,250.195370956,5.84173995007,657,1198,3.695e-06,3.8202e-05,0.001078639,0.001125218
uniform,9,1,2,1,astar,241.802349241,2.29118656291,2421,1197,1.7349e-05,0.00017587,0.001767685,0.001963621
uniform,9,1,2,2,astar,236.386298141,0,5445,1179,8.5186e-05,0.000477976,0.002507401,0.003073905
uniform,9,1,2,inf,astar,236.386298141,0,11520,1179,0.001059681,0.00220679,0.00636301,0.009634493
uniform,9,2,2,0,dp,222.464502624,6.46715037581,657,1280,4.657e-06,5.1484e-05,0.00042412,0.000485498
uniform,9,2,2,1,dp,208.951307364,0,2421,1280,2.1803e-05,0.00021677,0.00088107,0.001122714
uniform,9,2,2,2,dp,208.951307364,0,5445,1280,0.000112592,0.00059479,0.001532952,0.002243638
uniform,9,2,2,inf,dp,208.951307364,0,11520,1280,0.001294266,0.001942398,0.003727232,0.006968482
uniform,9,2,2,0,astar,222.464502624,6.46715037581,657,1195,3.83e-06,4.1336e-05,0.001254259,0.001304903
uniform,9,2,2,1,astar,208.951307364,0,2421,1153,1.8935e-05,0.000202029,0.001968371,0.002193738
uniform,9,2,2,2,astar,208.951307364,0,5445,1153,8.887e-05,0.000471474,0.002425736,0.002989342
uniform,9,2,2,inf,astar,208.951307364,0,11520,1153,0.0009191,0.001387864,0.003352511,0.005662221
uniform,10,0,2,0,dp,232.166747608,4.4957656877,910,2816,3.425e-06,5.0069e-05,0.001906436,0.001964594
uniform,10,0,2,1,dp,222.178139067,0,3790,2816,2.7525e-05,0.000384594,0.001964465,0.002385345
uniform,10,0,2,2,dp,222.178139067,0,9670,2816,0.000106917,0.000778428,0.003803704,0.004692827
uniform,10,0,2,inf,dp,222.178139067,0,28160,2816,0.003749745,0.009879386,0.008421299,0.022055987
uniform,10,0,2,0,astar,232.166747608,4.4957656877,910,2633,0.000412908,5.6965e-05,0.003820088,0.004295711
uniform,10,0,2,1,astar,222.178139067,0,3790,2552,2.4547e-05,0.000296087,0.005328988,0.005656163
uniform,10,0,2,2,astar,222.178139067,0,9670,2552,0.000113052,0.00076424,0.009355185,0.010240029
uniform,10,0,2,inf,astar,222.178139067,0,28160,2552,0.003019305,0.005052834,0.01460539,0.022686208
uniform,10,1,2,0,dp,254.28121678,7.56201248971,910,2816,4.554e-06,5.2401e-05,0.000984488,0.001046349
uniform,10,1,2,1,dp,243.998213602,3.21225936914,3790,2816,2.4e-05,0.000250597,0.001946759,0.002225883
uniform,10,1,2,2,dp,236.404294503,0,9670,2816,0.000107474,0.000750885,0.00399124,0.004853305
uniform,10,1,2,inf,dp,236.404294503,0,28160,2816,0.002289822,0.008809871,0.010916464,0.022022846
uniform,10,1,2,0,astar,254.28121678,7.56201248971,910,2655,4.492e-06,5.1248e-05,0.006076856,0.006139287
uniform,10,1,2,1,astar,243.998213602,3.21225936914,3790,2650,2.5826e-05,0.000256801,0.007734952,0.00802453
uniform,10,1,2,2,astar,236.404294503,0,9670,2620,0.000110708,0.000749631,0.008454085,0.009320729
uniform,10,1,2,inf,astar,236.404294503,0,28160,2620,0.004880685,0.004065677,0.017697201,0.026651192
uniform,10,2,2,0,dp,226.232202065,7.32243404028,910,2816,4.432e-06,5.3569e-05,0.000840154,0.000902985
uniform,10,2,2,1,dp,210.79674915,1.34829922876e-14,3790,2816,2.3464e-05,0.000269453,0.002231898,0.002528228
uniform,10,2,2,2,dp,210.79674915,0,9670,2816,0.000107289,0.000746401,0.007410222,0.008268749
uniform,10,2,2,inf,dp,210.79674915,0,28160,2816,0.002334017,0.003864184,0.009694214,0.015899663
uniform,10,2,2,0,astar,226.232202065,7.32243404028,910,2685,4.561e-06,5.6576e-05,0.0040238,0.004091424
uniform,10,2,2,1,astar,210.79674915,1.34829922876e-14,3790,2571,2.4485e-05,0.000263718,0.004993006,0.005287197
uniform,10,2,2,2,astar,210.79674915,0,9670,2573,0.000126895,0.000747574,0.014868044,0.015747119
uniform,10,2,2,inf,astar,210.79674915,0,28160,2573,0.013671449,0.004201015,0.029805056,0.047686519
uniform,11,0,2,0,dp,235.427761744,1.39261712236,1221,6144,7.285e-06,7.0728e-05,0.002002785,0.002087155
uniform,11,0,2,1,dp,232.194185756,0,5676,6144,3.1864e-05,0.000418649,0.00642964,0.006884858
uniform,11,0,2,2,dp,232.194185756,0,16236,6144,0.000158294,0.001272099,0.023195234,0.024632288
uniform,11,0,2,inf,dp,232.194185756,0,67584,6144,0.01742475,0.016943404,0.041765452,0.076140392
uniform,11,0,2,0,astar,235.427761744,1.39261712236,1221,5547,0.001446257,7.8862e-05,0.007325433,0.008859356
uniform,11,0,2,1,astar,232.194185756,0,5676,5559,3.8406e-05,0.000442303,0.022358299,0.022846712
